",Tanggal,Pengguna,Tweet,"
"0,12/12/2022 04:19,ENS53311139,YTH KAPOLRI DENSUS BNPT STOP MENDISCREDIT ISLAM DGN ISIS TERORIS RADIKAL INTOLERANSI KARENA BUKAN AKHLAQ MUSLIM DI NKRI TERORIS ISIS AKHLAQ RADIKAL MAUPUN INTOLERANSI SEMUA FITNAH NEGARA PHOBIA ISLAM,Netral"
"1,12/12/2022 04:16,RawasUluSektor,Bhabinkamtibmas Polsek Rawas Ulu Polres Muratara Polda Sumsel menyebarkan maklumat Kapolri tentang larangan karhutlah sumsel musirawasutara,Netral"
"2,12/12/2022 04:14,sitohang76,Indahnya toleransi Indonesia CC yth Bapak Menkopolhukam Bapak Kapolri Bapak Presiden Saya percaya Indonesia akan baik2 saja,Positif"
"3,12/12/2022 04:11,polsek_gemolong,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"4,12/12/2022 04:07,RawasUluSektor,Bhabinkamtibmas Polsek Rawas Ulu Polres Muratara Polda Sumsel menyebarkan maklumat Kapolri tentang larangan karhutlah sumsel musirawasutara,Netral"
"5,12/12/2022 04:02,jokoasm39190041,KAPOLDA SUMSEL BERI PENGHARGAAN KEPADA PERSONIL YANG BERPRESTASI poldasumsel kapoldasumsel polri palembang listyosigitprabowo hermanderu indozone detiknews plglipp humaspolri sumsel wibowo,Netral"
"6,12/12/2022 04:01,pelitahati368,KAPOLDA SUMSEL BERI PENGHARGAAN KEPADA PERSONIL YANG BERPRESTASI poldasumsel kapoldasumsel polri palembang listyosigitprabowo hermanderu indozone detiknews plglipp humaspolri sumsel wibowo,Netral"
"7,12/12/2022 04:00,celebdotid,Prosesi Pernikahan Kaesang dan Erina Berjalan sesuai Rencana Kapolri Puji Sinergi TNI dan Polri CelebritiesDotID InfoCelebTerkini,Netral"
"8,12/12/2022 03:52,Bisniscom,IPW Minta Kapolri Tuntaskan Kasus Pelanggaran oleh Perwira Tinggi,Positif"
"9,12/12/2022 03:51,L3laki_5unyi,Tuan presdent Panglima TNI TNI Kapolri lihatlah anak bangsamu menjadi korban keganasan OPM,Negatif"
"10,12/12/2022 03:50,polres_sragen_,Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"11,12/12/2022 03:45,klatenutara_,Terima kasih atas kerja keras kekompakan dan loyalitas tanpa batas sehingga kegiatan berjalan aman dan lancar listyosigitprabowo humas poldajateng divisihumaspolri polresklaten fyp klaten polisi fyp polresklatenhadir viral klatenhariini klaten,Positif"
"12,12/12/2022 03:43,hikmatsholeh,Calon Kapolri 45 thn kedepan,Positif"
"13,12/12/2022 03:35,polsekpinangtng,IPDA SENDY PURNAMA SH Kanit Binmas Polsek Pinang didampingi oleh Bhabinkamtibmas Kel Kunciran BRIPKA FITRA SYAHIDIN melaksanakan kegiatan monitoring sekaligus sambang ke area pusat perbelanjaan ikea alam sutera kapolri kapoldametrojaya kapolresmetrotangerangkota,Negatif"
"14,12/12/2022 03:30,poldajateng_,Kapolda Jateng Irjen Pol Drs Ahmad Luthfi S H mendampingi Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo asistensi dan melaksanakan pengamanan dalam rangka Ngunduh Mantu Putra Presiden RI Kaesang Erina 11 12,Positif"
"15,12/12/2022 03:30,detikhot,Kapolri Jenderal Polisi Listyo Sigit sampaikan terima kasih pada jajarannya hingga Panglima TNI yang telah bersinergi mengamankan prosesi pernikahan Kaesang Erina di Solo,Positif"
"16,12/12/2022 03:28,detikcom,Kapolri Jenderal Polisi Listyo Sigit sampaikan terima kasih pada jajarannya hingga Panglima TNI yang telah bersinergi mengamankan prosesi pernikahan Kaesang Erina di Solo,Positif"
"17,12/12/2022 03:27,PolsekMiri,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang SURAKARTA,Positif"
"18,12/12/2022 03:26,kuasakatacom,Kapolri Apresiasi Sinergitas TNI Polri Jaga Keamanan Resepsi Kaesang Erina,Netral"
"19,12/12/2022 03:15,Sukodono14,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang SURAKARTA,Positif"
"20,12/12/2022 03:11,SambirejoPolsek,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"21,12/12/2022 03:00,celebdotid,Pernikahan Kaesang dan Erina Berjalan Aman dan Tertib Kapolri Ucapkan Terima Kasih CelebritiesDotID InfoCelebTerkini,Positif"
"22,12/12/2022 02:59,Inara65008560,Bhabinkamtibmas Polsek Muara Padang melaksanakan giat POLISI SANJO di Desa Binaan Kec Muara Padang amp Kec Muara Sugihan kapolri Kapoldasumsel kapolresbanyuasin poldasumsel polresbanyuasin polisibanyuasin polsekmuariana Polripresisi polripresisipoldasumsel,Negatif"
"23,12/12/2022 02:58,PolsekSambungm3,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"24,12/12/2022 02:56,km03_s,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"25,12/12/2022 02:54,MediaKomando,Kapolri Apresiasi Sinergitas TNI Polri Jaga Keamanan Resepsi Kaesang Erina,Netral"
"26,12/12/2022 02:44,kuasakatacom,Kapolri Ratusan Ribu Warga Tertib Ikuti Acara Nikahan Kaesang Erina,Netral"
"27,12/12/2022 02:40,intanalyze,TERORIS itu fakta Ada korbannya khususnya NATAL Bahwa dalam perjalanannya ada sesuatu Jangan dong pimred serra merta menggampangkan Tanya Pak Kapolri Polri kalo mmg ada oknum yg terkait narkoba Pisahkan dulu dong,Positif"
"28,12/12/2022 02:37,kumparan,Kapolri Jenderal Listyo Sigit Prabowo menyampaikan rasa syukurnya atas kelancaran seluruh rangkaian acara pernikahan Kaesang Erina di Yogyakarta dan Solo publisherstory bengawannews,Positif"
"29,12/12/2022 02:24,GATRA_com,Ngunduh Mantu Jokowi Aman Kapolri Densus 88 Bekerja Keras,Positif"
"30,12/12/2022 02:22,Polsekgiriwoyo8,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"31,12/12/2022 02:17,LMagetan98,Maaf Bapak KAPOLRI apakah SPTL itu baru muncul setelah adanya sp2hp kalau di mintai SPTL tidak mau memberikan saksinya apa dari internal POLRI Mohon jawabannya Terimakasih atas perhatiannya,Negatif"
"32,12/12/2022 02:15,ahmadmfauzi1,Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang SURAKARTA Antusiasme ratusan ribu warga Surakarta serta rangkaian resepsi Kaesang Erina yang berjalan sukses mendapat apresiasi dari Kapolri Jenderal Listyo Sigit Prabowo,Positif"
"33,12/12/2022 02:07,PolsekMasaran,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"34,12/12/2022 02:07,polsek_tangen,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Antusiasme ratusan ribu warga Surakarta serta rangkaian resepsi Kaesang Erina yang berjalan sukses mendapat apresiasi dari Kapolri Jenderal Listyo Sigit Prabowo,Positif"
"35,12/12/2022 02:06,NarasiNewsroom,Laporan hasil pemeriksaan Div Propam Polri terkait kasus suap tambang ilegal ke sejumlah perwira tinggi di Polda Kalimantan Timur dan Mabes Polri sudah pernah diserahkan ke Kapolri April lalu Kok sampai sekarang belum jelas tindaklanjutnya ya,Negatif"
"36,12/12/2022 02:03,polsek_sragen,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang SURAKARTA Antusiasme ratusan ribu warga Surakarta serta rangkaian resepsi Kaesang Erina,Positif"
"37,12/12/2022 02:01,plupuh_polsek,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"38,12/12/2022 01:59,LeonEI85123528,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"39,12/12/2022 01:57,sekkarangmalan2,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"40,12/12/2022 01:52,TirtaHartanto,Yth Pak Lihat video roelca TikTok,Netral"
"41,12/12/2022 01:42,Tribun_Solo,Tak Hanya TNI Polri Kapolri Sebut Densus 88 Antiteror Ikut Amankan Pernikahan Kaesang dan Erina,Netral"
"42,12/12/2022 01:39,Bhabin_Botu,Meninjau pembangunan POS KAMLING hasil swadaya masyarakat di Lorong Damai RT002 RW002 Kelurahan Botu kapolresgorontalokota polresgorontalokota polripresisi divisihumaspolri listyosigitprabowo kapolri bhabinkamtibmas poldagorontalo,Netral"
"43,12/12/2022 01:38,agoezsatria3,Justru yg ga tegas adl Kapolri amp Penegak Hukum Coba klo itu pelakunya orang awam pasti sdh di DOR MATI selesai Tp ini plakunya Jenderal Berbintang kaya raya pny anggota bawah smp atas Jd berkelit jgn mengkaburkan pasal yg sdh jelas Mentang pny duit bnyk amp berpangkat tinggi,Positif"
"44,12/12/2022 01:33,m4nc3uh,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"45,12/12/2022 01:19,SepitartoFrans,Selamat nggih pak Kapolri,Netral"
"46,12/12/2022 00:59,20detik,Pernikahan Kaesang Erina Lancar Kapolri Terima Kasih Warga Solo,Positif"
"47,12/12/2022 00:48,polsekpinangtng,Bhabinkamtibmas Kel Kunciran BRIPKA FITRA SYAHIDIN SH melaksanakan kegiatan patroli ke area pusat perbelanjaan ikea alam sutera tatap muka dengan scurity Sdr ROHIM kapolri kapoldametrojaya poldametrojaya kapolresmetrotangerangkota zaindwinugroho,Negatif"
"48,12/12/2022 00:45,ikhwan2a,Kapolri Listyo Sigit Bersyukur Rangkaian Pernikahan Kaesang Erina Berjalan Aman,Positif"
"49,12/12/2022 00:42,C4H7O_2,Polri TNI Kapolri lembek anak buah pasti lembek,Netral"
"50,12/12/2022 00:41,polsekpinangtng,IPTU HENDI SETIAWAN SH Kapolsek Pinang pimpin pengamanan babak Final turnamen sepak bola PPP Cup Ke I Babak Semi Final Tahun 2022 di Lapangan Sepak bola Bunga Mekar Kel Kunciran Jaya Kec Pinang Kota Tangerang kapolri kapoldametrojaya kapolresmetrotangerangkota,Netral"
"51,12/12/2022 00:38,tempodotco,Kapolri Listyo Sigit Bersyukur Rangkaian Pernikahan Kaesang Erina Berjalan Aman TempoNasional,Positif"
"52,12/12/2022 00:21,ileng_s,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"53,12/12/2022 00:21,Royrkarim,TV Eliezer dan kapolri jg dibohongi,Netral"
"54,12/12/2022 00:19,idhumhii,Bong jika bukan anak presiden apa kapolri panliima tni bin dan menteri2 serta pejabat2 tingkat daerah mau sibuk2 dan yg jelas mereka mereka melekat oasilitas Negara,Positif"
"55,12/12/2022 00:16,Raja378Raja3781,Resepsi Kaesang Erina Berjalan Sukses Kapolri Apresiasi Masyarakat Surakarta Kapolri Apresiasi Masyarakat Surakarta dan Sinergitas TNI Polri Dalam Pengamanan Resepsi Kaesang,Positif"
"56,12/12/2022 00:16,BiLLYKHAERUDIN,Mosok kayak gini aja mesti ngetag aku Kapolri sih,Netral"
"57,12/12/2022 00:16,LstwnA,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"58,11/12/2022 23:44,89Kul,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"59,11/12/2022 23:23,doel_abbie,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"60,11/12/2022 23:20,KangCafebubar,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"61,11/12/2022 23:13,SangFajar51,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"62,11/12/2022 23:08,Fathee_Q,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"63,11/12/2022 23:03,PunggawaSI,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"64,11/12/2022 23:00,JC_95S,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"65,11/12/2022 23:00,ShiddiqueA,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"66,11/12/2022 23:00,umma_nafa,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"67,11/12/2022 23:00,M4l3zm4ndi,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"68,11/12/2022 23:00,Lady4lph,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"69,11/12/2022 23:00,Julidzone,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"70,11/12/2022 23:00,H4fs4h1,Marwan Batubara Dua Tahun Tragedi KM 50 Rakyat Menuntut Tanggungjawab Kapolri Sigit dan Presiden Jokowi TumbangkanPenguasaKemaruk TumbangkanPenguasaKemaruk,Netral"
"71,11/12/2022 22:47,SINDOnews,Pernikahan Kaesang Erina Jenderal Andika Perkasa hingga Kapolri Kompak Kenakan Busana Abu abu Sindonews BukanBeritaBiasa,Positif"
"72,11/12/2022 22:20,Vita00990021,Sidokkes Polres OKI Polda Sumsel bersama Kasat Binmas Polres OKI Polda Sumsel melakukan giat Inovasi Bersinar terhadap masyrakat umum di Kec Tanjung Lubuk Kab OKI Bersama Tingkatkan Kesehatan Masyarakat Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri,Positif"
"73,11/12/2022 22:19,Vita00990021,Sidokkes Polres OKI Polda Sumsel juga melayani kesehatan gigi pada anak Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo polisisumsel akpol2001,Positif"
"74,11/12/2022 22:19,Vita00990021,Artikel Kesehatan Sidokkes Polres OKI Polda Sumsel Buah favorit siapa nih Ternyata banyak manfaatnya Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo,Positif"
"75,11/12/2022 22:18,Vita00990021,Kalian lebih suka nasi dingin atau panas Sidokkes Polres OKI Polda Sumsel menyarankan bagi penderita Diabetes sebaiknya makan nasi dingin ya karna rendah gula Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel,Positif"
"76,11/12/2022 22:18,Vita00990021,Dalam meningkatkan mutu pelayanan Sidokkes Polres OKI Polda Sumsel rutin melakukan perawatan Alkes Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo,Positif"
"77,11/12/2022 22:16,okezonenews,Pernikahan Kaesang Erina Berjalan Aman Kapolri Terima Kasih Panglima TNI LengkapCepatBeritanya BeritaTerkini Berita News BeritaNasional,Positif"
"78,11/12/2022 22:00,SINDOnews,Pernikahan Kaesang Erina Berjalan Aman Kapolri Puji Kolaborasi TNI Polri Sindonews BukanBeritaBiasa,Positif"
"79,11/12/2022 21:43,MNCkoranSINDO,Pernikahan Kaesang Erina Berjalan Lancar Kapolri Ucapkan Terima Kasih ke Panglima TNI,Positif"
"80,11/12/2022 20:11,Nusantara118,Beliau adalah Panglima tertinggi TNI Polri dan lambang negara mohon segera diusut dan ditangkap pak Cc Polri Pak Kapolri,Netral"
"81,11/12/2022 19:06,soloposdotcom,Bersyukur Tasyakuran Pernikahan Kaesang Erina Lancar Kapolri Tetap Evaluasi,Positif"
"82,11/12/2022 19:01,kabartimlo,Acara Ngunduh Mantu Jokowi Selesai Ini yang Jadi Sorotan Kapolri,Netral"
"83,11/12/2022 19:01,timlovers,Acara Ngunduh Mantu Jokowi Selesai Ini yang Jadi Sorotan Kapolri,Netral"
"84,11/12/2022 18:59,antaranews,Kapolri bersyukur rangkaian pernikahan Kaesang Erina berjalan aman,Positif"
"85,11/12/2022 18:49,voidotid,Kapolri bersyukur,Netral"
"86,11/12/2022 18:46,CNNIndonesia,Kapolri Ratusan Ribu Warga Ramaikan Kirab Pengantin Kaesang Erina,Netral"
"87,11/12/2022 18:36,mynewsindo,Apresiasi Dukungan Warga Kapolri Seluruh Rangkaian Pernikahan Kaesang Berjalan Aman dan Lancar,Positif"
"88,11/12/2022 18:31,polsekpinangtng,IPDA SENDY PURNAMA SH Kanit Binmas Polsek Pinang lakukan pengamanann Giat Pengamanan Gereja GBI amp Gereja JPCC Mall Alam sutra JL Jalur Sutra Boulevard Kel Panunggangan Timur Kec Pinang Kota Tangerang kapolri kapoldametrojaya poldametrojaya polresmetrotangerangkota,Netral"
"89,11/12/2022 18:27,FRONTPERSAUDAR2,SelluHijaU Polri Emng sok kenal deket sma kapolri,Netral"
"90,11/12/2022 18:26,liputan6dotcom,Kapolri Bersyukur Rangkaian Pernikahan Kaesang Erina Berjalan Lancar dan Tertib,Positif"
"91,11/12/2022 18:22,polsekpinangtng,IPDA SURURUDIN Kanit Samapta Polsek Pinang lakukan Kegiatan Rutin Yang Ditingkatkan KRYD dengan Patroli Biru Blue Light Patrol Antisipasi Guantibmas amp Tindak Pidana Lainnya di Wilayah Hukum Polsek Pinang kapolri kapoldametrojaya kapolresmetrotangerangkota,Positif"
"92,11/12/2022 17:54,jpnncom,Pernikahan Kaesang Lancar Tanpa Kendala Kapolri Ucapkan Kalimat Ini KapolriJenderalListyoSigitPrabowo,Positif"
"93,11/12/2022 17:53,ysari2906,Artikel Kesehatan Sidokkes Polres OKI Polda Sumsel Jam piket organ tubuh Ayoo perhatikan organ tubuh kita Kalau bukan kita siapa lagi Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001,Positif"
"94,11/12/2022 17:52,ysari2906,Dalam meningkatkan mutu pelayanan Sidokkes Polres OKI Polda Sumsel rutin melakukan perawatan Alkes Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo,Positif"
"95,11/12/2022 17:51,ysari2906,Kalian lebih suka nasi dingin atau panas Sidokkes Polres OKI Polda Sumsel menyarankan bagi penderita Diabetes sebaiknya makan nasi dingin ya karna rendah gula Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel,Positif"
"96,11/12/2022 17:51,ysari2906,Artikel Kesehatan Sidokkes Polres OKI Polda Sumsel Buah favorit siapa nih Ternyata banyak manfaatnya Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo,Positif"
"97,11/12/2022 17:50,ysari2906,Sidokkes Polres OKI Polda Sumsel juga melayani kesehatan gigi pada anak Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo polisisumsel akpol2001,Positif"
