",Tanggal,Pengguna,Tweet,"
"397,11/12/2022 01:46,1983Danangg,Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo menjenguk korban peristiwa bom bunuh diri Mapolsek Astana Anyar di Rumah Sakit Immanuel Bandung Jawa Barat Polripresisi poldasumsel Kapoldasumsel polresbanyuasin polisibanyuasin kapolresbanyuasin,Netral"
"398,11/12/2022 01:40,SudirjaBambang,kasus penganiayaan yang dilakukan oleh 7 orang yang dilaporkan di sudah hampir 2 bulan tidak ada perkembangan apa harus di viral dulu baru di proses pak info detail sudah terkirim di inbok Pak Kapolri silahkan di buka mumpung bapak lagi di Jogja,Positif"
"399,11/12/2022 01:39,HumasMuara,Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo memerintahkan kepada seluruh tim dan satgas untuk segera bergerak sehingga pengungkapan peristiwa bom bunuh diri di Polsek Astana Anyar dapat dituntaskan secara maksimal polsekmuarapadang,Netral"
"400,11/12/2022 01:36,1983Danangg,Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo memerintahkan kepada seluruh tim dan satgas untuk segera bergerak sehingga pengungkapan peristiwa bom bunuh diri di Polsek Astana Anyar Polripresisi Kapoldasumsel polresbanyuasin polisibanyuasin,Netral"
"401,11/12/2022 01:17,dhl34,Ya pak wapres tinggal berdiskusi dengan presiden selanjutnya panggil kapolri KPK kejaksaan berikan perintah kepada mereka itu akan lebih baik klo tidak bisa dan tidak sesuai mundur akan lebih dihargai itu action niat yg kuat,Positif"
"402,11/12/2022 01:16,Lintas_MNCTV,Kapolri Jenderal Listyo Sigit waspadai potensi ancaman kejahatan acara ngunduh mantu Putra Presiden Jokowi di Loji Gandrung Solo Minggu Selengkapnya LintasiNews News MNCTVNews Berita KaesangErina Jokowi kapolriListyoSigit KaesangPangarep,Netral"
"403,11/12/2022 01:03,Polsek_Jtp1,Jelang Hari H Pernikahan Kaesang Kapolri Cek Langsung Kesiapan Rute Kirab SOLO Matangkan persiapan pengamanan Kapolri Jendral Pol Listyo Sigit Prabowo turun langsung melakukan pengecekan akhir rute kirab pasangan pengantin Kaesang Erina di Jalan Slamet Riyadi Surakarta,Negatif"
"404,11/12/2022 00:48,Prakarsa99Willy,Salut buat Pak Kapolri Jend Pol Listyo Sigit Prabowo dan Jajaran tidak ada mengenal kata istirahat,Negatif"
"405,11/12/2022 00:39,news_wanheart,Kapolri Listyo Sigit Unggah Foto Pengamanan Akad Nikah Kaesang Berujung Digeprek Warganet Penting Banget Ya,Positif"
"406,11/12/2022 00:28,poldajateng_,Cek Kesiapan Ngunduh Mantu Putra Presiden RI Kapolda Jateng Dampingi Bp kapolri Asistensi dan Pengecekan Kesiapan Pengamanan Ngunduh Mantu Putra Presiden RI yang bertempat di Lodji Gandrung Pura Mangkunegaran dan Benteng Vastenburg Surakarta Sabtu 10 12,Netral"
"407,11/12/2022 00:20,Kadalarab20,Sejak kapan pengusaha sukses bisa menerjunkan kapolri dan 10 ribu aparat,Positif"
"408,11/12/2022 00:17,detik_jateng,Erick Thohir Luhut hingga Kapolri Tiba di Loji Gandrung,Netral"
"409,11/12/2022 00:14,poldajateng_,Cek Kesiapan Ngunduh Mantu Putra Presiden RI Kapolda Jateng Dampingi Bp kapolri Asistensi dan Pengecekan Kesiapan Pengamanan Ngunduh Mantu Putra Presiden RI yang bertempat di Lodji Gandrung Pura Mangkunegaran dan Benteng Vastenburg Surakarta Sabtu 10 12,Netral"
"410,11/12/2022 00:08,kompascom,Kapolri sempat menyapa warga Solo yang menyaksikan acara adat ngunduh mantu Kaesang dan Erina di depan Loji Gandrung,Netral"
"411,11/12/2022 00:04,Bambang71161953,Aman bagaimana anggota bapak KAPOLRI ingin berkata jujur malah ingin ditahan apa tunggu perang saudara saya baru saja menyanjung bapak KAPOLRI tapi apa ternyata saya salah mengartikan,Positif"
"412,10/12/2022 23:53,Raja378Raja3781,Jelang Hari H Pernikahan Kaesang Kapolri Cek Langsung Kesiapan Rute Kirab,Netral"
"413,10/12/2022 23:16,marthinloren,INSTRUKSI KAPOLRI Untuk Masyarakat polisi polri kapolri,Netral"
"414,10/12/2022 23:11,VIVAcoid,Kapolri Pastikan Seluruh Pengamanan Rangkaian Pernikahan Kaesang Erina,Netral"
"415,10/12/2022 22:33,rikisya36034558,Kirab Pengantin Kaesang Erina Ini yang Jadi Perhatian Serius Kapolri,Negatif"
"416,10/12/2022 22:33,YuriEndah,Kirab Pengantin Kaesang Erina Ini yang Jadi Perhatian Serius Kapolri,Negatif"
"417,10/12/2022 22:00,Clara63454767,Polri reskrim Iya KAPOLRI sm anak buah nya Jiper sm Akun ini,Negatif"
"418,10/12/2022 21:41,voidotid,Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno mengatakan akan berkoordinasi dengan Kapolri terkait substansi dan implementasi Pasal 424 tentang minuman kera,Positif"
"419,10/12/2022 21:40,wahananewsdotco,Kapolri Usut Kasus WNI Korban Online Scam di Kamboja DPR Apersiasi Setinggi tingginya KapolriJenderalListyoSigit ListyoSigit Penipuan OnlineScam,Positif"
"420,10/12/2022 21:31,Polsekgiriwoyo8,Jelang Hari H Pernikahan Kaesang Kapolri Cek Langsung Kesiapan Rute Kirab SOLO Matangkan persiapan pengamanan Kapolri Jendral Pol Listyo Sigit Prabowo turun langsung melakukan pengecekan akhir rute kirab pasangan pengantin Kaesang Erina di Jalan Slamet Riyadi Kota Solo,Negatif"
"421,10/12/2022 21:31,ajjjelia,Lu yang ngentod kapolri yg suru mikir laaa situ waras,Netral"
"422,10/12/2022 20:52,JBucharyA46,Teman2 sekalian mohon bantuannya untuk di Up agar dapat di notice oleh pak kapolri saat ini proses penyidikan telah berjalan akan tetapi di takutkan korban mendapat ancaman atau hal lain yang dapat mengganggu proses hukum mohon bantuannya,Netral"
"423,10/12/2022 19:10,liputan6dotcom,Kapolri Arus Lalu Lintas Jadi Perhatian Saat Kirab Kaesang Erina,Netral"
"424,10/12/2022 18:53,Baranewsaceh,Kapolri Peringatan Hakordia Tumbuhkan Kesadaran Dampak Buruk Korupsi,Negatif"
"425,10/12/2022 18:22,bobatea271,Dalam rangka pengamanan rangkaian acara pernikahan Kaesang dan Erina Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo hadir di Jogja untuk meninjau langsung berbagai kesiapan tim di lapangan HadirUntukMelayani Setia Untuk Negeri,Positif"
"426,10/12/2022 17:30,FNt70,Tahu Kapolri sekarang sepertinya sangat petagu jk berhadapan dg genk2 kadrun otak separoh ini,Negatif"
"427,10/12/2022 17:21,TmcWonogiri,Jelang Hari H Pernikahan Kaesang Kapolri Cek Langsung Kesiapan Rute Kirab,Netral"
"428,10/12/2022 16:40,detikcom,Pimpinan DPR apresiasi Kapolri Jenderal Listyo Sigit memerintahkan jajarannya menyelidiki kasus penyekapan 34 WNI korban perusahaan online scam di Kamboja,Positif"
"429,10/12/2022 16:35,polreslotim,Kapolres Lotim AKBP Hery Indra Cahyono SH S I K M H Bersama anggota Laksanakan Silaturahmi ke Pimpinan Ponpes Tajul Karomah Karya Adi Husada Batu Belek Kel Rakam Kec Selong Lotim poldantb polripresisi kapolri polreslomboktimur polrihadirmelayani,Netral"
"430,10/12/2022 16:18,polreslotim,Patroli Blue Light Polres Lombok Timur Personil Polres Lombok Timur yang dipimpin oleh Kapolres Lotim AKBP Hery Indra Cahyono SH S I K M H Laksanakan Patroli Blue Light dalam rangka menjaga dan memelihara Harkamtibmas di Kab Lombok Timur poldantb polripresisi kapolri,Positif"
"431,10/12/2022 16:14,hanendra_s,kalau rakyat nikah butuh pengamanan hubungi kemana pak kapolri,Netral"
"432,10/12/2022 16:13,RepelitaO,HOT NEWS Kapolri Listyo Sigit Unggah Foto Pengamanan Akad Nikah Kaesang Berujung Digeprek Warganet Penting Banget Ya,Positif"
"433,10/12/2022 16:06,Maha29885400,KENAPA EMANGNYA KOK GA DISALAMI PAK JOKOWI KAYAK ANAK KECIL SEPENGETAHUAN SAYA PAK KAPOLRI SUDAH BEKERJA DENGAN BAIK MESKIPUN TIDAK BERKENAN TETAPLAH DISALAMI KAN ADA ADAB DAN ETIKANYA,Negatif"
"434,10/12/2022 16:03,Robert_7ahaan,Polri reskrim Backingnya Pak Kapolri MakNya ngak ada yg berani menangkapnya,Netral"
"435,10/12/2022 15:57,Yanto46703906,Pentinglh pasti klu ad apa2 yng di slhn kapolri,Positif"
"436,10/12/2022 15:52,Nov1R007,Kemarin pemerintah yang diwakili Pak Menko Polhukam kemudian saya mendampingi dan Pak Kapolri sudah mengumumkan dilanjutkan kembali kompetisi sepak bola yang tersisa kan sempat ditunda karena ada kejadian di Kanjuruhan,Netral"
"437,10/12/2022 15:39,Bang_Ardyan,Pak Kapolri Pak Kapolda Sumbar Polri tolong ditertibkan pemuda yg mengatur jalan buka tutup di Pangkalan Koto Baru Sumbar krn sudah mulai mengancam sopir yg lewat utk menyerahkan uang pengaturan lalu lintas,Positif"
"438,10/12/2022 15:36,jawapos,Kapolri Arus Lalu Lintas Jadi Perhatian Saat Kirab Kaesang Erina,Netral"
"439,10/12/2022 15:29,CimerakPolsek,Dalam rangka pengamanan rangkaian acara pernikahan Kaesang dan Erina Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo HadirUntukMelayani dan meninjau langsung berbagai kesiapan tim di lapangan yang berada di Jogja,Positif"
"440,10/12/2022 15:14,merdekadotcom,Kapolri Antisipasi Aksi Kejahatan saat Ngunduh Mantu Kaesang Erina,Netral"
"441,10/12/2022 15:05,kontenislam_com,Kapolri Listyo Sigit Unggah Foto Pengamanan Akad Nikah Kaesang Berujung Digeprek Warganet Penting Banget Ya,Positif"
"442,10/12/2022 15:05,rmol_id,Kapolri Pastikan Seluruh Rangkaian Pernikahan Kaesang dan Erina Aman,Positif"
"443,10/12/2022 15:02,mynewsindo,Kapolri Pastikan Amankan Seluruh Rangkaian Pernikahan Kaesang Erina,Positif"
"444,10/12/2022 14:53,tempodotco,Kapolri Sebut Pengaturan Lalu Lintas Kirab Pengantin Kaesang Erina Jadi Perhatian Polisi TempoNasional,Netral"
"445,10/12/2022 14:51,saviraroza,Polri Mantap bapak Kapolri Jaya terus Polri,Positif"
"446,10/12/2022 14:50,voidotid,Kapolri Jenderal Pol Listyo Sigit Prabowo mengatakan pengaturan arus lalu lintas di sekitar rute kirab pengantin Kaesang Pangarep dan Erina Gudono,Netral"
"447,10/12/2022 14:49,heywalikota,Kapolri digeprek warganet Ketawa lagi lu,Netral"
"448,10/12/2022 14:44,mierthea78,Tanya hatimu aja pa kapolri Kalo benar lanjutkan kalo ada yg salah serasa tabu Maka lihat kembali UU kepolisian Jangan pertontonkan Sepertinya hanya pejabat yg bisa nyuruh nyuruh polisi Pengamanan pernikahan terukur n diukur Hemat anggaran Karena negeri ini banyak urang,Negatif"
"449,10/12/2022 14:39,kumparan,Jenderal Sigit mengatakan pihaknya akan fokus mengatur lalu lintas di sepanjang jalan yang dilalui Kaesang dan Erina Sebab akan banyak masyarakat melihat langsung acara tersebut kumparanNEWS,Positif"
"450,10/12/2022 14:33,Beritasatu,Antisipasi Ancaman Kapolri Cek Langsung Lokasi Pernikahan Kaesang Erina,Positif"
"451,10/12/2022 14:27,OposisiCerdas,Kapolri Listyo Sigit Unggah Foto Pengamanan Akad Nikah Kaesang Berujung Digeprek Warganet Penting Banget Ya,Positif"
"452,10/12/2022 14:22,celebdotid,Polri Siap Amankan Seluruh Rangkaian Pernikahan Kaesang dan Erina Begini Kata Kapolri Jenderal Listyo Sigit CelebritiesDotID InfoCelebTerkini,Positif"
"453,10/12/2022 14:08,Putra80964960,Sekelas KAPOLRI tpi tdk berkelas berantas tuh MAFIA TAMBANG,Negatif"
"454,10/12/2022 14:06,nuningBening,cen Polri reskrim SambO itu gank nya sdh mngakar kuat sejak lama Jd klo membasmi pentolan nya MUSTI sampe ke akar2nya Dan itu tdklah mudah Buktinya Presiden sampe ngasih komando brp kali ke Kapolri Korban SambO pun ada yg tdk tahu menahu spt ART nya Jd sabar saja Itung2 kita ngliat sinetron,Negatif"
"455,10/12/2022 13:58,suaradotcom,Kurang lebih 10 800 personel dari TNI Polri dan instansi lainnya dikerahkan guna mengawal pernikahan putra bungsu Presiden Jokowi,Negatif"
"456,10/12/2022 13:56,barapfahri,POLSEK MESUJI MAKMUR ulurkan tangan mu untuk membantu sesama untuk memberikan manfaat bagi orang lain mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo polisisumsel akpol2001,Negatif"
"457,10/12/2022 13:54,Citayam_FW,Pasal 424 KUHP Ancam Pelaku Pariwisata Sandiaga Uno Akan Koordinasi dengan Kapolri citayamfashionweek cfw,Negatif"
"458,10/12/2022 13:52,HTualang,Untuk kelancaran Ibadah Personil Polsek Tualang Polres Siak Polda Riau melaksanakan pengamanan perayaan Natal di Gedung PT IKPP Perawang indonesia riau siak polres siak humaspolsektualang siak riau,Positif"
"459,10/12/2022 13:52,geloraco,Kapolri Listyo Sigit Unggah Foto Pengamanan Akad Nikah Kaesang Berujung Digeprek Warganet Penting Banget Ya,Positif"
"460,10/12/2022 13:51,eradotid,Kapolri Pastikan Amankan Seluruh Rangkaian Pernikahan Kaesang dan Erina,Positif"
"461,10/12/2022 13:49,Vita00990021,Informasi kesehatan Sidokkes Polres OKI Polda sumsel Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo polisisumsel akpol2001 salamtribrata,Positif"
"462,10/12/2022 13:48,Vita00990021,Sidokkes Polres OKI Polda Sumsel memberikan informasi hak dan kewajiban kepada pasien dan keluarga Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo,Positif"
"463,10/12/2022 13:47,Vita00990021,Pelayanan prima Sidokkes Polres OKI Polda Sumsel menjelaskan kepada pasien aturan pakai obat Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo,Positif"
"464,10/12/2022 13:46,Vita00990021,Informasi kesehatan Sidokkes Polres OKI Polda Sumsel Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo,Positif"
"465,10/12/2022 13:46,okezonenews,Kapolri Pastikan Amankan Seluruh Rangkaian Pernikahan Kaesang Erina LengkapCepatBeritanya BeritaTerkini Berita News BeritaNasional,Positif"
"466,10/12/2022 13:46,Vita00990021,Patroli kesehatan ke Polsek jajaran Polres OKI yang rutin dilakukan Sidokkes Polres OKI Polda Sumsel Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo,Positif"
"467,10/12/2022 13:45,Vita00990021,Sidokkes Polres OKI Polda Sumsel selalu siaga 24 jamjika ada tahanan Rutan Mako Polres OKI yang sakit Anda tersenyum sehat kami bahagia mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo,Positif"
"468,10/12/2022 13:44,CNNIndonesia,Cek TKP Ngunduh Mantu Kaesang Erina Kapolri Waspada Potensi Kejahatan,Netral"
"469,10/12/2022 13:42,BetungJuni,Tamu terlebih dahulu diminta untuk membuka isi tas menunjukkan barang tersebut kepada personil yang berjaga Setelah diyakini aman baru tamu tersebut diberikan akses masuk Tandas Kapolda Sumsel poldasumsel kapoldasumsel listyosigitprabowo polresbanyuasin polsekbetung,Positif"
"470,10/12/2022 13:36,1998asgd,Kapolri tidur,Netral"
"471,10/12/2022 13:32,N4T0_,79 Numpang nanya sejak kpn ya jd pengusaha nya Maaf klo sy belajar dari mantan kapolri Hoegeng yg melarang istrinya jd pengusaha kembang krn takut dimanfaatkan koleganya saat menjabat dirjen imigrasi,Negatif"
"472,10/12/2022 13:30,HTualang,Kegiatan Nasrani Personil Polres Siak pemberian Tali Asih dan Sembako dalam rangka menyambut Perayaan Natal tahun 2022 indonesia riau siak polres siak humaspolsektualang siak riau,Positif"
"473,10/12/2022 13:26,gerbangbirugbla,Maaf Pak Kapolri Polri kami sudah berkali2 melaporkan balap liar di sekitar Stadion GBLA ke polisi kok gak ada tindakan presisi dan terukur ya Marak terus knalpot bising balapan liar pak Harus dilempar batu Mahalini Paha Anya Kaesang Wartawan,Negatif"
"474,10/12/2022 13:26,danangmauulana,Salah sampean iku mas mereka itu sudah sepenuhnya melayani sesuai prosedur terukur terarah presisi sesuai sop bhkn janji pak kapolri ketika uji kelayaakn di dpr urus pelayanan dipolisi bkal secepat restoran cepat saji,Positif"
"475,10/12/2022 13:21,detik_jateng,Pantau Puro Mangkunegaran Kapolri Cek Metal Detector Parkiran,Netral"
"476,10/12/2022 13:21,kabartimlo,Kapolri Cek Pengamanan Akhir Jelang Hari H Ngunduh Mantu Jokowi,Netral"
"477,10/12/2022 13:21,timlovers,Kapolri Cek Pengamanan Akhir Jelang Hari H Ngunduh Mantu Jokowi,Netral"
"478,10/12/2022 13:14,tvOneNews,Ngunduh Mantu Kaesang Erina di Solo Kapolri Pengaturan Lalu Lintas Harus Diperhatikan,Netral"
"479,10/12/2022 13:12,Muslimsiregar18,Polri Luar biasa bapak Kapolri semoga sehat dan sukses selalu Bravo Polri,Positif"
"480,10/12/2022 13:10,mediaindonesia,Pasalnya dalam satu kesempatan Kamaruddin menyebut polisi itu mengabdi kepada negara hanya satu minggu dan sisanya kepada mafia,Netral"
"481,10/12/2022 13:08,KinkinAsikin1,pro Kapolri diangkat presiden Jadi kgk mungkin nangkap presiden,Netral"
"482,10/12/2022 13:08,republikaonline,Kapolri mengatakan ada beberapa fokus dalam pengamanan ketika acara ngunduh mantu,Netral"
"483,10/12/2022 13:07,PolsektroTabang,Dalam rangka pengamanan rangkaian acara pernikahan Kaesang dan Erina Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo HadirUntukMelayani dan meninjau langsung berbagai kesiapan tim di lapangan yang berada di Jogja,Positif"
"484,10/12/2022 13:05,20detik,Sandiaga Uno Bakal Koordinasi dengan Kapolri Bahas Pasal Baru KUHP,Negatif"
"485,10/12/2022 13:02,kumparan,Pengaturan lalu lintas saat kirab pernikahan Kaesang Erina dinilai Kapolri perlu diperhatikan karena akan menarik perhatian masyarakat publisherstory bengawannews,Netral"
"486,10/12/2022 13:00,Radenlangitan,Jendral Kapolri aja ga bisa ngapa2in Lha Aipda,Positif"
"487,10/12/2022 13:00,bedigasans,mas kaesang keren banget nikahnya bisa di datengi Presiden Panglima TNI Kapolri Walikota Medan amp Walikota Solo,Positif"
"488,10/12/2022 12:59,humaspolsekgk,Dalam rangka pengamanan rangkaian acara pernikahan Kaesang dan Erina Kapolri Jenderal Polisi Drs Listyo Sigit Prabowo HadirUntukMelayani dan meninjau langsung berbagai kesiapan tim di lapangan yang berada di Jogja,Positif"
"489,10/12/2022 12:58,prijujur1,Yth bpk kapolri Mohon memonitor Polresta Sleman agar upaya penangkapan dokter palsu segera dimulai,Negatif"
"490,10/12/2022 12:58,Beritasatu,Kirab Kaesang Erina Kapolri Lalu Lintas Jadi Perhatian,Netral"
"491,10/12/2022 12:56,12Jasman,Polri Mantap Bapak Kapolri masih cinta kebudayaan bangsa dgn bukti hadir pada kongres Pagar Nusa Ke IV bravo Polri untuk negeri,Netral"
"492,10/12/2022 12:54,aduhyand,Jubir nikahan Kaesang Ini Kaesang keren banget sih Acara nikahannya dia di datengin sama Presiden Menteri Walikota Kapolri dll Padahal dia bukan dari elit Politik Hanya masyarakat biasa yg jualan pisang Kerenn bangettt asli,Positif"
"493,10/12/2022 12:51,BagasWrs_,Cega Awalnya dari pemerintah dulu bikin peraturan bilamana ceramah ada konten mengarah ke radikalisme polisi siap memberhentikan ceramah dan memproses penceramah ke ranah hukum harus tegas maaf mungkin krn Kapolri non muslim jd geraknya agak takut2 takut di beri jargon anti islam,Negatif"
"494,10/12/2022 12:49,20detik,Kapolri Pantau Pengamanan Jelang H 1 Tasyakuran Kaesang Erina,Netral"
"495,10/12/2022 12:47,JuarsyahZed,POLSEK MESUJI MAKMUR ulurkan tangan mu untuk membantu sesama untuk memberikan manfaat bagi orang lain mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo polisisumsel,Netral"
"496,10/12/2022 12:47,HUMAS_4lawang,Arahan Bapak kapolri kepada jajaran untuk meraih kembali kepercayaan publik hingga menghindari pelanggaran kapoldasumsel kapolresempatlawangpoldasumsel poldasumsel polresempatlawang humaspolresempatlawang humaspolsekpaiker,Netral"
"497,10/12/2022 12:46,JuarsyahZed,POLSEK MESUJI MAKMUR Tebarkan senyuman dengan penuh ke ikhlasan dalam setiap langkah mabespolri okiupdate kapolri jokowi listyosigitprabowo poldasumsel kapolri akabri2001 kapoldasumsel ArachmadW Rachmadwibowo polisisumsel,Positif"
"498,10/12/2022 12:46,Desri24428503,Cega Pak knp kinerja kapolri ini tdk di kontrol Knp dbiarkan sj seenaknya spt itu tdk tg jwb di jabatan utk mnegakkan hukum peraturan di NKRI trmasuk ngontrol kinerja pnegakan hukum dr org yg dipimpinnya Jk merugikan Bangsa Negara knp gak di ganti aja,Netral"
"499,10/12/2022 12:43,pikiran_rakyat,Pasal 424 KUHP Ancam Pelaku Pariwisata Sandiaga Uno Siap Berkoordinasi dengan Kapolri,Negatif"
