Tweet,Sentimen
"['kepolisian republik indonesia', 'kepala kepolisian republik indonesia', 'semoga', 'sehat', 'sukses', 'bravo', 'kepolisian republik indonesia']",Positif
"['pasalnya', 'kesempatan', 'kamaruddin', 'menyebut', 'polisi', 'mengabdi', 'negara', 'minggu', 'sisanya', 'mafia']",Negatif
"['pro', 'kepala kepolisian republik indonesia', 'diangkat', 'presiden', 'nangkap', 'presiden']",Negatif
"['yang terhormat', 'kepala kepolisian republik indonesia', 'mohon', 'memonitor', 'polresta', 'sleman', 'upaya', 'penangkapan', 'dokter', 'palsu']",Positif
"['kepolisian republik indonesia', 'mantap', 'kepala kepolisian republik indonesia', 'cinta', 'kebudayaan', 'bangsa', 'bukti', 'hadir', 'kongres', 'pagar', 'nusa', 'iv', 'bravo', 'kepolisian republik indonesia', 'negeri']",Positif
"['cega', 'pemerintah', 'bikin', 'peraturan', 'bilamana', 'ceramah', 'konten', 'mengarah', 'radikalisme', 'polisi', 'memberhentikan', 'ceramah', 'memproses', 'penceramah', 'ranah', 'hukum', 'maaf', 'kepala kepolisian republik indonesia', 'non', 'muslim', 'geraknya', 'takut', 'takut', 'jargon', 'anti', 'islam']",Negatif
"['cega', 'kinerja', 'kepala kepolisian republik indonesia', 'kontrol', 'dbiarkan', 'surat pemberitahuan tahunan', 'tg', 'jabatan', 'mnegakkan', 'hukum', 'peraturan', 'negara kesatuan republik indonesia', 'ngontrol', 'kinerja', 'pnegakan', 'hukum', 'orang', 'dipimpinnya', 'merugikan', 'bangsa', 'negara', 'ganti']",Negatif
"['djoe', 'tag', 'jokowi', 'kepala kepolisian republik indonesia', 'betasemen khusus', 'letkol', 'corbuzier', 'teroris', 'benaran', 'beraksi', 'teroris', 'drama2aan']",Negatif
"['pensiun', 'kepala kepolisian republik indonesia', 'kepala kepolisian resor', 'kepala kepolisian daerah']",Negatif
"['warga', 'sultra', 'terbunuh', 'papua', 'knpi', 'ultimatum', 'panglima', 'tentara nasional indonesia', 'kepala kepolisian republik indonesia', 'ancam', 'bentuk', 'laskar', 'perang']",Negatif
"['komisi pemberantasan korupsi', 'berani', 'mengusut', 'fe', 'alasan', 'cari2x', 'laporan', 'fe', 'data', 'fakta', '2', 'alat', 'bukti', 'saksi', 'saksi', 'ahli', 'mendukung', 'serahksn', 'penegak', 'hukum', 'kejaksaan agung', 'kepala kepolisian republik indonesia', 'biar', 'usut', 'tuntas', 'selesai']",Positif
"['perasaan', 'pelecehan', 'closed', 'kepala kepolisian republik indonesia', 'muncul', 'wkwk', 'ya kali', 'nenek nenek', 'kepedean']",Negatif
"['tewasnya', 'warga', 'sipil', 'kesekian', 'kalinya', 'tempo', 'papua', 'aksi', 'anggota', 'kelompok', 'kriminal', 'bersenjata', 'kkb', 'mengindikasikan', 'panglima', 'tentara nasional indonesia', 'kepala kepolisian republik indonesia', 'gagal', 'menciptakan', 'stabilitas', 'keamanan', 'negeri', 'alerta', 'savekorbankkb', 'indonesiadaruratkeamanan']",Negatif
"['nih', 'pangab', 'kepala kepolisian republik indonesia', 'rakyat', 'indonesia', 'bunuh', 'sadis']",Negatif
"['malas', 'spekulasi', 'gue', 'berpatokan', 'omongan', 'kepala kepolisian republik indonesia', 'motif', 'rdp', 'dewan perwakilan rakyat', 'agustus']",Negatif
"['kabar', 'kepala kepolisian republik indonesia', 'jenderal', 'semoga', 'sehat', 'semoga', 'institusi', 'kepolisian republik indonesia', 'bersih', 'parasit', 'mengambil', 'hidup', 'nama', 'kepolisian republik indonesia']",Positif
"['mention', 'kepala kepolisian republik indonesia', 'masokkk', 'mention2', 'kepala kepolisian republik indonesia', 'beserta', 'jajaran', 'nya', 'nya', 'kayak', 'minggu', 'alias', 'masokk', 'wkwk']",Negatif
"['djoe', 'panglima', 'tentara nasional indonesia', 'kepala kepolisian republik indonesia', 'menhan', 'coba', '11', '000', 'tentara nasional indonesia', 'kepolisian republik indonesia', 'dikirim', 'papua', 'tuntaskan', 'kkb', 'ngamanin', 'pesta']",Positif
"['info', 'gaib', 'perdamaian', 'kepala kepolisian republik indonesia', 'amp', 'kabareskrom', 'seniornya', 'kapolra', 'info', 'jalannya', 'perdamaian', 'berjalan', 'suasana', 'mencekam', 'kapolra', 'dipanggil', 'kabareskrom', 'dipanggil', 'dek']",Negatif
"['eka', 'bubarkan', 'kepolisian', 'gunanya', 'akun', 'recehan', 'kayak', 'takut', 'ganti', 'kepala kepolisian republik indonesia', 'nya']",Negatif
"['bantu', 'menulis', 'pesanperubahan', 'mendesak', 'kepala kepolisian republik indonesia', 'lindungi', 'hak', 'kebebasan', 'berserikat', 'berkumpul']",Negatif
"['reformasi', 'total', 'pekerjaan rumah', 'berat', 'kepala kepolisian republik indonesia']",Negatif
"['kepala kepolisian republik indonesia', 'komunis']",Negatif
"['hehe', 'lihat', 'laganya', 'cocok', 'kepala kepolisian republik indonesia']",Negatif
"['mari', 'umat', 'islam', 'doa', 'km50', 'dibuka', 'tabirnya', 'terbuka', 'fitnah', 'di dalam', 'nya', 'semoga', 'kepala kepolisian republik indonesia', 'bekerja sama', 'mengungkap', 'km50', 'paksaan', 'keridloannya', 'amin']",Positif
"['watch', 'pengrusakan', 'gedung', '9', 'penghentian', 'glow', 'pemindahan', 'lab', 'treub', 'pemindahan', 'peepustakaan', 'kebun', 'raya', 'bogor', 'pelanggaran2', 'undang undang', 'coba', 'no', '11', '2010', 'peristiwa', 'dilaporkan', 'kepala kepolisian republik indonesia', 'up', 'kabareskrim', 'markas besar', 'kepolisian republik indonesia', 'menindak', 'pelaku']",Negatif
"['kepercayaan', 'publik', 'kepolisian republik indonesia', 'rendah', 'ipw', 'kepala kepolisian republik indonesia', 'benahi']",Negatif
"['watch', 'desakan', 'masyarakat', 'glow', 'dihentikan', 'tanggal', '21', 'oktober', '2022', 'selang', 'pengrusakan', 'gedung', '9', 'kawasan', 'coba', 'peristiwa', 'pengrusakan', 'dilaporkan', 'kepala kepolisian republik indonesia', 'up', 'kabareskrim', 'markas besar', 'kepolisian republik indonesia', 'berharap', 'penegakan', 'hukum', 'akses', 'keadilan', 'menindak', 'pelaku']",Negatif
"['presiden', 'intruksikan', 'kepala kepolisian republik indonesia', 'jajarannya', 'menindak', 'pelaku', 'pengrusakan', 'pelanggaran', 'undang undang', 'no', '11', '2010', 'cagar', 'budaya', 'kawasan', 'cagar', 'budaya', 'kebun', 'raya', 'bogor', 'watch']",Negatif
"['kejadian', 'presiden', 'ri', 'panglima', 'tentara nasional indonesia', 'betasemen khusus', '88', 'kepala kepolisian republik indonesia', 'menhan', 'menkopolhukam', 'dewan perwakilan rakyat', 'ri', 'majelis permusyawaratan rakyat', 'ri', 'wajib', 'turun', 'tangan', 'diulur', 'ulur', 'beban', 'penderitaan', 'rakyat']",Negatif
"['pernikahan', 'kaesang', 'erina', 'berjalan', 'aman', 'kepala kepolisian republik indonesia', 'puji', 'kolaborasi', 'tentara nasional indonesia', 'kepolisian republik indonesia']",Positif
"['pejabat', 'negara', 'kalah', 'radikalisme', 'premanisne', 'anarkhisme', 'intoleran', 'dan sebagainya', 'dibuktikan', 'omongan', 'pejabat', 'halloo', 'kepala kepolisian republik indonesia', 'kalah', 'pok', 'intoleran']",Negatif
"['otaknya', 'ex', 'kepala kepolisian republik indonesia', 'sesat']",Negatif
"['tuntaskan', 'libatkan', 'pati', 'kepolisian republik indonesia', 'kembalikan', 'kepercayaan', 'publik', 'institusi']",Positif
"['tingkat', 'kepercayaan', 'publik', 'kepolisian republik indonesia', 'rendah', 'ipw', 'kepala kepolisian republik indonesia', 'benahi', 'reserse']",Negatif
"['kepala kepolisian republik indonesia', 'listyo', 'sigit', 'prabowo', 'selamatkan', 'dokter', 'richard', 'ke tidak adilan', 'hukum', 'tanda tangani', 'petisi', 'via', 'id']",Negatif
"['presiden', 'menteri', 'agama', 'kepala kepolisian republik indonesia', 'mohon', 'disikapi', 'ditindak', 'oknum oknum', 'merusak', 'persatuan', 'kesatuan', 'kebhinekaan', 'negara', 'kesatuan']",Negatif
"['televisi', 'kepala kepolisian republik indonesia', 'memberantas', 'mafia', 'solar', 'ilegal', 'musi', 'bayuasin', 'lihat', 'perkembangannya', 'kepolisian republik indonesia']",Negatif
"['isi', 'akalnya', 'play station', 'presiden', 'tiba tiba', 'ahok', 'angkat', 'jenderal', 'dikasih', 'jabatan', 'panglima', 'denny', 'siregar', 'menteri', 'pendidikan', 'sambo', 'dibebasin', 'diangkat', 'kepala kepolisian republik indonesia', 'rafi', 'ahmadyah', 'diangkat', 'menteri', 'pemuda', 'iya']",Negatif
"['yang terhormat', 'kepala kepolisian republik indonesia', 'betasemen khusus', 'badan nasional penanggulangan terorisme', 'stop', 'mendiscredit', 'islam', 'isis', 'teroris', 'radikal', 'intoleransi', 'akhlaq', 'muslim', 'negara kesatuan republik indonesia', 'teroris', 'isis', 'akhlaq', 'radikal', 'intoleransi', 'fitnah', 'negara', 'fobia', 'islam']",Negatif
"['indahnya', 'toleransi', 'indonesia', 'cc', 'yang terhormat', 'menkopolhukam', 'kepala kepolisian republik indonesia', 'presiden', 'percaya', 'indonesia', 'baik baik']",Positif
"['tuan', 'presdent', 'panglima', 'tentara nasional indonesia', 'tentara nasional indonesia', 'kepala kepolisian republik indonesia', 'lihatlah', 'anak', 'bangsamu', 'korban', 'keganasan', 'organisasi papua merdeka']",Negatif
"['teroris', 'fakta', 'korbannya', 'natal', 'perjalanannya', 'pimpinan redaksi', 'serra', 'merta', 'menggampangkan', 'kepala kepolisian republik indonesia', 'kepolisian republik indonesia', 'oknum', 'terkait', 'narkoba', 'pisahkan']",Negatif
"['kepala kepolisian republik indonesia', 'amp', 'penegak', 'hukum', 'coba', 'pelakunya', 'orang', 'awam', 'dor', 'mati', 'selesai', 'plakunya', 'jenderal', 'berbintang', 'kayak', 'raya', 'anggota', 'berkelit', 'mengkaburkan', 'pasal', 'mentang', 'duit', 'amp', 'berpangkat']",Negatif
"['selamat', 'iya', 'kepala kepolisian republik indonesia']",Positif
"['kepolisian republik indonesia', 'tentara nasional indonesia', 'kepala kepolisian republik indonesia', 'lembek', 'anak', 'buah', 'lembek']",Negatif
"['televisi', 'eliezer', 'kepala kepolisian republik indonesia', 'dibohongi']",Negatif
"['kepala kepolisian republik indonesia', 'kepolisian republik indonesia', 'tolong', 'akun', 'menyebarkan', 'hoaks', 'fitnah', 'kebencian', 'diawasi', 'narasi', 'kebohobgan', 'dibiarkan']",Negatif
"['kelakuan', 'oknom', 'berseragam', 'dibiarkan', 'dibungkam', 'ayo', 'bersuara', 'diintimidasi', 'poldajatim', 'kepala kepolisian republik indonesia']",Negatif
"['kepala kepolisian republik indonesia', 'perintah', 'berantas', 'judi', 'online', 'bagus', 'situs2', 'menjamur', 'terkesan', 'dibiarkan', 'mengadu', 'respon', 'mohon', 'ditindak', 'link']",Negatif
"['izin', 'kepala kepolisian republik indonesia', 'beranggapan', 'kepolisian daerah', 'kalimantan tengah', 'presisi', 'masyarakat', 'melaporkan', 'pt', 'susantri', 'permai', 'terindikasi', 'pelanggaran', 'kehutanan', '7', 'merugikan', 'negara', 'miliran', 'rupiah', 'ditindak', 'lanjuti', 'masyarakat', 'dilidik', 'kepolisian daerah', 'kalimantan tengah']",Negatif
"['gubernur', 'bupati', 'berebut', 'nyediakan', 'tenda', 'dekorasi', 'rias', 'manten', 'catering', 'iya', 'menteri', 'pertahanan', 'kepala kepolisian republik indonesia', 'perintah', 'jajarannya', 'ngerahkan', 'polisi', 'tentara', 'plus', 'peralatan', 'perang']",Negatif
"['semoga', 'perhatian', 'khusus', 'kepala kepolisian republik indonesia', 'terpancing', 'terpecah', 'belah', 'di sana', 'kawal', 'anggota', 'polisi']",Positif
"['butuh', 'keadilan', 'presiden', 'kepala kepolisian republik indonesia', 'binsar', 'ri', 'bandar', 'narkoba', 'beserta', 'oknum', 'polisi', 'diduga', 'bermain', 'bandar', 'narkoba', 'melaporkan', 'masyarakat', 'kritik', 'terkait', 'narkoba', 'mohon', 'atensi']",Negatif
"['ditangkap', 'niat', 'kudeta', 'ayo', 'kepala kepolisian republik indonesia']",Negatif
"['penganiayaan', '7', 'orang', 'dilaporkan', '2', 'perkembangan', 'viral', 'proses', 'info', 'detail', 'terkirim', 'inbok', 'kepala kepolisian republik indonesia', 'silakan', 'buka', 'mumpung', 'yoyakarta']",Negatif
"['salut', 'kepala kepolisian republik indonesia', 'jend', 'pol', 'listyo', 'sigit', 'prabowo', 'jajaran', 'mengenal', 'istirahat']",Positif
"['hatimu', 'kepala kepolisian republik indonesia', 'lanjutkan', 'salah', 'serasa', 'tabu', 'lihat', 'undang undang', 'kepolisian', 'pertontonkan', 'pejabat', 'menyuruh', 'menyuruh', 'polisi', 'pengamanan', 'pernikahan', 'terukur', 'diukur', 'hemat', 'anggaran', 'negeri', 'urang']",Negatif
"['sekelas', 'kepala kepolisian republik indonesia', 'berkelas', 'berantas', 'mafia', 'tambang']",Positif
"['maaf', 'kepala kepolisian republik indonesia', 'kepolisian republik indonesia', 'berkali kali', 'melaporkan', 'balap', 'liar', 'stadion', 'gbla', 'polisi', 'tindakan', 'presisi', 'terukur', 'ya', 'marak', 'knalpot', 'bising', 'balapan', 'liar', 'dilempar', 'batu', 'mahalini', 'paha', 'anya', 'kaesang', 'wartawan']",Negatif
"['salah', 'sampean', 'mas', 'sepenuhnya', 'melayani', 'sesuai', 'prosedur', 'terukur', 'terarah', 'presisi', 'sesuai', 'sop', 'janji', 'kepala kepolisian republik indonesia', 'uji', 'kelayaakn', 'dewan perwakilan rakyat', 'urus', 'pelayanan', 'dipolisi', 'secepat', 'restoran', 'cepat', 'saji']",Positif
"['kepolisian republik indonesia', 'kepala kepolisian republik indonesia', 'semoga', 'sehat', 'sukses', 'bravo', 'kepolisian republik indonesia']",Positif
"['febri', 'sih', 'kepala kepolisian republik indonesia', 'berbicara', 'mengotot', 'kasihan', 'lepas', 'juru bicara', 'downgrade', 'sadar', 'febri', 'mempermalukan', 'kepala kepolisian republik indonesia']",Negatif
"['membaca', 'alinea', 'lunglai', 'kondisi', 'netralisasi', 'pernyataan', 'bikin', 'video', 'viral', 'berdata', 'berbacking', 'strong', 'mending', 'diam', 'publik', 'paham']",Negatif
"['bantu', 'kepala kepolisian republik indonesia', 'warga', 'ketakutan']",Positif
"['yang terhormat', 'tolong', 'rakyat', 'tanahnya', 'dirampas', 'masuk', 'dilarang', 'satpam', 'mohon', 'keadilan', 'rakyat', 'solusi', 'terbaik', 'cepat', 'fkmti', 'puluhan', 'ribu', 'lapor', 'fkmti', 'buka', 'warkah', 'dikawal', 'media', 'televisi', 'solusi', 'terbaik', 'cepat', 'surat pemberitahuan tahunan', '100thn', 'beres']",Negatif
"['kepala kepolisian republik indonesia', 'bantu', 'kemana', 'melapor', 'mafialahan', 'mafiasawit']",Positif
"['berani', 'berkhianat', 'polisi', 'tentara nasional indonesia', 'menghajar', 'rakyat', 'protes', 'kuasai', 'polisi', 'tentara nasional indonesia', 'mantan', 'mantan', 'kasad', 'panglima', 'tentara nasional indonesia', 'kepala kepolisian republik indonesia', 'jadikan', 'pejabat', 'pensiun', 'silakan', 'cek']",Negatif
"['mantap', 'kepala kepolisian republik indonesia', 'sigap', 'berwibawa', 'semoga', 'acara', 'pernikahan', 'putra', 'ketiga', 'presiden', 'berjalan', 'lancar', 'aman', 'mas', 'mbak', 'erina', 'samawa', 'maut', 'memisahkan', 'amin']",Positif
"['prabowo', 'nya', 'menhan', 'gagah', 'perkasa', 'kepala kepolisian republik indonesia', 'santun', 'luwes', '']",Positif
